地名,センター,びん,缶,段ボール・紙製容器,ペットボトル,蛍光灯,プラ,燃やせる,燃やせない,備考
田尻栃谷町,清水,水4,水1 水3,水3,水2,木4,月,火 金,木2 木4,清水東
朝宮町,清水,水2,水1 水3,水3,水4,木4,月,火 金,木2 木4,清水北
片粕町,清水,水2,水1 水3,水3,水4,木4,月,火 金,木2 木4,清水北
竹生町,清水,水4,水1 水3,水3,水2,木4,月,火 金,木2 木4,清水東
清水町,清水,水4,水1 水3,水3,水2,木4,月,火 金,木2 木4,清水東
和田町,清水,水4,水1 水3,水3,水2,木4,月,火 金,木2 木4,清水東
グリーンハイツ１丁目,清水,水2,水1 水3,水3,水4,木4,月,火 金,木2 木4,清水北
グリーンハイツ２丁目,清水,水2,水1 水3,水3,水4,木4,月,火 金,木2 木4,清水北
グリーンハイツ３丁目,清水,水2,水1 水3,水3,水4,木4,月,火 金,木2 木4,清水北
グリーンハイツ４丁目,清水,水2,水1 水3,水3,水4,木4,月,火 金,木2 木4,清水北
グリーンハイツ５丁目,清水,水2,水1 水3,水3,水4,木4,月,火 金,木2 木4,清水北
グリーンハイツ６丁目,清水,水2,水1 水3,水3,水4,木4,月,火 金,木2 木4,清水北
グリーンハイツ７丁目,清水,水2,水1 水3,水3,水4,木4,月,火 金,木2 木4,清水北
グリーンハイツ８丁目,清水,水2,水1 水3,水3,水4,木4,月,火 金,木2 木4,清水北
グリーンハイツ９丁目,清水,水2,水1 水3,水3,水4,木4,月,火 金,木2 木4,清水北
グリーンハイツ１０丁目,清水,水2,水1 水3,水3,水4,木4,月,火 金,木2 木4,清水北
真栗町,清水,水4,水1 水3,水3,水2,木4,月,火 金,木2 木4,清水南
御油町,清水,水4,水1 水3,水3,水2,木4,月,火 金,木2 木4,清水南
島寺町,清水,水4,水1 水3,水3,水2,木4,月,火 金,木2 木4,清水南
風巻町,清水,水4,水1 水3,水3,水2,木4,月,火 金,木2 木4,清水南
小羽町,清水,水4,水1 水3,水3,水2,木4,月,火 金,木2 木4,清水東
片山町,清水,水4,水1 水3,水3,水2,木4,月,火 金,木2 木4,清水南
清水山町,清水,水4,水1 水3,水3,水2,木4,月,火 金,木2 木4,清水南
在田町,清水,水4,水1 水3,水3,水2,木4,月,火 金,木2 木4,清水南
甑谷町,清水,水4,水1 水3,水3,水2,木4,月,火 金,木2 木4,清水南
坪谷町,清水,水4,水1 水3,水3,水2,木4,月,火 金,木2 木4,清水西
志津が丘１丁目,清水,水2,水1 水3,水3,水4,木4,月,火 金,木2 木4,清水西
志津が丘２丁目,清水,水2,水1 水3,水3,水4,木4,月,火 金,木2 木4,清水西
志津が丘３丁目,清水,水2,水1 水3,水3,水4,木4,月,火 金,木2 木4,清水西
志津が丘４丁目,清水,水2,水1 水3,水3,水4,木4,月,火 金,木2 木4,清水西
上北野町,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
新保北１丁目,福井,水4,水1 水3,水3,水2,水2:5 7 9 11 1 3,火,月 木,金2 金4,福井
月見町,福井,水1,水2 水4,水4,水3,水3:4 6 8 10 12 2,月,火 金,木1 木3,福井
舟橋新町,福井,水3,水2 水4,水4,水1,水1:4 6 8 10 12 2,月,火 金,木2 木4,福井
